,주소,geocoding_juso4
0,서울특별시 강남구 봉은사로 612 (삼성동),서울특별시 강남구 봉은사로 612 
1,"서울특별시 서초구 강남대로 441, 서산빌딩 10층 (서초동)",서울특별시 서초구 강남대로 441
2,"서울특별시 강서구 초록마을로 15, 102~104호 (화곡동, 은가람팰리스)",서울특별시 강서구 초록마을로 15
3,"서울특별시 관악구 난곡로 305, 대영빌딩 3층 (신림동)",서울특별시 관악구 난곡로 305
4,"서울특별시 노원구 동일로180길 14, 공릉쇼핑센타 3층 (공릉동)",서울특별시 노원구 동일로180길 14
5,"서울특별시 중랑구 망우로 247, 로얄스포츠센터 4(일부),5층 (중화동)",서울특별시 중랑구 망우로 247
6,"서울특별시 금천구 벚꽃로 286, 삼성리더스타워 111~114호 (가산동)",서울특별시 금천구 벚꽃로 286
7,"서울특별시 노원구 동일로 1005, 대정빌딩 2층 (공릉동)",서울특별시 노원구 동일로 1005
8,"서울특별시 강남구 압구정로30길 51, I.S.A 빌딩 5층 (신사동)",서울특별시 강남구 압구정로30길 51
9,"서울특별시 강남구 도산대로 118 (논현동, 신사빌딩 2층)",서울특별시 강남구 도산대로 118 
10,"서울특별시 송파구 송파대로27길 28, 동원빌딩 (문정동)",서울특별시 송파구 송파대로27길 28
11,"서울특별시 강서구 양천로 461, 주영빌딩 2층 (가양동)",서울특별시 강서구 양천로 461
12,"서울특별시 강남구 테헤란로4길 6, 강남역 센트럴 푸르지오 시티 3층 310호 (역삼동)",서울특별시 강남구 테헤란로4길 6
13,"서울특별시 강남구 테헤란로 509, 지하2층,지하1층일부,2층 (삼성동)",서울특별시 강남구 테헤란로 509
14,"서울특별시 관악구 신원로 38, 5층 (신림동, 청암빌딩)",서울특별시 관악구 신원로 38
15,"서울특별시 강남구 강남대로 428, 만이빌딩 6층 (역삼동)",서울특별시 강남구 강남대로 428
16,"서울특별시 서초구 강남대로 349, 우남빌딩 8층 (서초동)",서울특별시 서초구 강남대로 349
17,"서울특별시 강남구 학동로 117, B1~9F층 (논현동)",서울특별시 강남구 학동로 117
18,"서울특별시 강동구 천호대로 1133, 서울M타워 5,8,9,10층 (길동)",서울특별시 강동구 천호대로 1133
19,"서울특별시 강동구 양재대로 1625, 숨결TOWER 4층층 (천호동)",서울특별시 강동구 양재대로 1625
20,"서울특별시 서초구 고무래로 32, 반포트라이엄프메딕스빌딩 202호 (반포동)",서울특별시 서초구 고무래로 32
21,"서울특별시 은평구 가좌로 271, 3,4층 (신사동)",서울특별시 은평구 가좌로 271
22,"서울특별시 은평구 가좌로 271 (신사동, 2,5,6,7층)",서울특별시 은평구 가좌로 271 
23,"서울특별시 광진구 강변역로4길 10, 5층 (구의동, 지너스타워)",서울특별시 광진구 강변역로4길 10
24,서울특별시 도봉구 해등로 190 (쌍문동),서울특별시 도봉구 해등로 190 
25,"서울특별시 광진구 강변역로4길 10, 5층 (구의동,강변역지너스타워)",서울특별시 광진구 강변역로4길 10
26,"서울특별시 양천구 월정로 53, (신월동)",서울특별시 양천구 월정로 53
27,서울특별시 중랑구 면목로 473 (상봉동),서울특별시 중랑구 면목로 473 
28,"서울특별시 강북구 한천로 1093, 3층 (수유동, 하나은행)",서울특별시 강북구 한천로 1093
29,"서울특별시 도봉구 도봉로 477, 3층 (쌍문동)",서울특별시 도봉구 도봉로 477
30,"서울특별시 강북구 도봉로 296, 5층 (번동, 양덕빌딩)",서울특별시 강북구 도봉로 296
31,"서울특별시 강북구 한천로 897 (번동, 강북보건소,번2동주민센터)",서울특별시 강북구 한천로 897 
32,"서울특별시 도봉구 도봉로 488, 지상2층,지상5층 (창동)",서울특별시 도봉구 도봉로 488
33,"서울특별시 강북구 솔샘로 239, 2층 (미아동)",서울특별시 강북구 솔샘로 239
34,"서울특별시 강북구 한천로 1118, JK빌딩 4층층 (수유동)",서울특별시 강북구 한천로 1118
35,"서울특별시 동대문구 왕산로 176, 5층 (전농동)",서울특별시 동대문구 왕산로 176
36,"서울특별시 강북구 한천로 1083, 광산타워 1층 (수유동)",서울특별시 강북구 한천로 1083
37,"서울특별시 강북구 도봉로 242, 한국전력 강북성북지사 2층 1호 (미아동)",서울특별시 강북구 도봉로 242
38,"서울특별시 성북구 화랑로5길 41, 3층 (하월곡동)",서울특별시 성북구 화랑로5길 41
39,"서울특별시 은평구 은평로 200-1, 가동 201호 (응암동, 삼영빌딩)",서울특별시 은평구 은평로 200-1
40,서울특별시 종로구 새문안로 29 (평동),서울특별시 종로구 새문안로 29 
41,"서울특별시 금천구 금하로 631-6, 2층 (시흥동)",서울특별시 금천구 금하로 631-6
42,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",서울특별시 영등포구 경인로 841
43,"서울특별시 성북구 화랑로40길 54, 지상3,4층 (석관동, 영원빌딩)",서울특별시 성북구 화랑로40길 54
44,"서울특별시 강북구 삼양로77가길 9, 3층 (수유동)",서울특별시 강북구 삼양로77가길 9
45,"서울특별시 강북구 솔매로 60, 2층 (미아동)",서울특별시 강북구 솔매로 60
46,서울특별시 강북구 솔샘로 233 (미아동),서울특별시 강북구 솔샘로 233 
